'qRelativeEnt_ne_top_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'qRelativeEnt_op_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'qRelativeEnt_rank' depends on axioms: [propext, Classical.choice, Quot.sound]
'qRelativeEnt_relabel' depends on axioms: [propext, Classical.choice, Quot.sound]
'rpow_mul_neg_rpow_eq_supportProj' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwichedRelEntropy_ne_top' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwichedRelRentropy.continuousOn' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwichedRelRentropy_additive' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwichedRelRentropy_additive_alpha_ne_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwichedRelRentropy_additive_alpha_one_aux' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwichedRelRentropy_congr' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwichedRelRentropy_eq_log_traceFunctional' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwichedRelRentropy_heq_congr' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwichedRelRentropy_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwichedRelRentropy_of_unique' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwichedRelRentropy_relabel' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwichedRelRentropy_self' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwichedRelRentropy_tendsto_qRelativeEnt' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwichedRenyiEntropy_DPI' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwichedRenyiEntropy_DPI_eq_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwichedRenyiEntropy_DPI_gt_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwichedRenyiEntropy_SWAP' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwichedRenyiEntropy_conj_unitary' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwichedRenyiEntropy_mono_traceLeft' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwichedRenyiEntropy_mono_traceRight' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwichedRenyiEntropy_mono_traceRight'' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwichedRenyiEntropy_tensor_pure' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwichedTraceFunctional_conj_tensorUnitary' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwichedTraceFunctional_conj_unitary_MState' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwichedTraceFunctional_conj_unitary_hermitian' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwichedTraceFunctional_jointly_convex' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwichedTraceFunctional_mono_traceRight' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwichedTraceFunctional_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwichedTraceFunctional_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwichedTraceFunctional_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwichedTraceFunctional_self' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwichedTraceFunctional_tensor_invariant' depends on axioms: [propext, Classical.choice, Quot.sound]
'sandwiched_term_product' depends on axioms: [propext, Classical.choice, Quot.sound]
'sub_zero' depends on axioms: [propext]
'supportProj_inner_density' depends on axioms: [propext, Classical.choice, Quot.sound]
'supportProj_mul_of_ker_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'traceFunctional_eq_iSup_f_alpha' depends on axioms: [propext, Classical.choice, Quot.sound]
'twirling_average_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'twirling_general_matrix' depends on axioms: [propext, Classical.choice, Quot.sound]
'twirling_hermitian_entry' depends on axioms: [propext, Classical.choice, Quot.sound]
'weighted_jensen_rpow' depends on axioms: [propext, Classical.choice, Quot.sound]
