sandwiched_trace_pos	theorem	private	bcc5122de912969e	QuantumInfo/Entropy/Relative.lean	33
weighted_jensen_rpow	lemma	public	fd29b0aa8d7f2f8e	QuantumInfo/Entropy/Relative.lean	51
doubly_stochastic_holder	lemma	public	8a2a73f8d06008d6	QuantumInfo/Entropy/Relative.lean	62
HermitianMat.inner_le_trace_rpow_mul	lemma	public	b800d729ea0d960b	QuantumInfo/Entropy/Relative.lean	104
MState.rpow_le_one'	lemma	public	8c19b48b37cae5c1	QuantumInfo/Entropy/Relative.lean	129
HermitianMat.eigenvalues_le_one_of_le_one	lemma	public	800d6b929d225206	QuantumInfo/Entropy/Relative.lean	144
HermitianMat.trace_rpow_le_trace_of_le_one	lemma	public	31012ef4622634bb	QuantumInfo/Entropy/Relative.lean	174
trace_conj_rpow_eq_inner	lemma	private	10ef6dabe7915ca1	QuantumInfo/Entropy/Relative.lean	191
inner_rpow_le_one	lemma	private	9af77f18a513c06b	QuantumInfo/Entropy/Relative.lean	221
sandwiched_trace_of_lt_1	theorem	private	9fd909f06ffc921f	QuantumInfo/Entropy/Relative.lean	232
HermitianMat.rpow_neg_mul_rpow_eq_supportProj	lemma	public	8af8609eb2032cad	QuantumInfo/Entropy/Relative.lean	259
HermitianMat.supportProj_mul_self	lemma	public	93756c3741ef7f4c	QuantumInfo/Entropy/Relative.lean	274
HermitianMat.inner_supportProj_self	lemma	public	e724b970c1386983	QuantumInfo/Entropy/Relative.lean	302
HermitianMat.mul_supportProj_of_ker_le	lemma	public	6b629874afb7f882	QuantumInfo/Entropy/Relative.lean	313
HermitianMat.inner_supportProj_of_ker_le	lemma	public	57866f11d35b54d3	QuantumInfo/Entropy/Relative.lean	362
supportProj_inner_density	lemma	public	9b325027b987c01a	QuantumInfo/Entropy/Relative.lean	367
sandwiched_inner_eq_one	lemma	private	494d73e961579afa	QuantumInfo/Entropy/Relative.lean	375
sandwiched_trace_of_gt_1	theorem	private	9aedd4ae695166b6	QuantumInfo/Entropy/Relative.lean	391
sandwichedRelRentropy_nonneg_α_lt_1	theorem	private	4f24ac5d6c749040	QuantumInfo/Entropy/Relative.lean	427
sandwichedRelRentropy_nonneg_α_gt_1	theorem	private	1784cc90dfd1d7a6	QuantumInfo/Entropy/Relative.lean	435
sandwichedRelRentropy.trace_at_one	lemma	private	e7d7b840debe8699	QuantumInfo/Entropy/Relative.lean	441
hasDerivAt_trace_rpow_at_one	lemma	private	1452bd9a3652a6d8	QuantumInfo/Entropy/Relative.lean	448
trace_conj_eq_inner_rpow	lemma	private	bb5abd64ace74873	QuantumInfo/Entropy/Relative.lean	501
eigenWeight	def	private	bc9870c07c0d41d7	QuantumInfo/Entropy/Relative.lean	524
inner_cfc_eq_sum_eigenWeight	lemma	private	6e572f0df5bb92ad	QuantumInfo/Entropy/Relative.lean	527
eigenWeight_nonneg	lemma	private	26e2f37302126bf7	QuantumInfo/Entropy/Relative.lean	546
eigenWeight_zero_of_eigenvalue_zero	lemma	private	29062e390993f9c3	QuantumInfo/Entropy/Relative.lean	563
hasDerivAt_inner_rpow_at_zero	lemma	private	2df9ea4973cbba74	QuantumInfo/Entropy/Relative.lean	583
hasDerivAt_trace_conj_at_one	lemma	private	06513e377fdc28d1	QuantumInfo/Entropy/Relative.lean	609
scalar_rpow_cross_term	lemma	private	ad7cad262a1cc825	QuantumInfo/Entropy/Relative.lean	636
hasDerivAt_trace_rpow_sub_trace	lemma	private	ba0b6983547b6202	QuantumInfo/Entropy/Relative.lean	648
B_of	abbrev	private	2008cbd548e07080	QuantumInfo/Entropy/Relative.lean	653
B_of_one	lemma	private	82e41d6452c4cb27	QuantumInfo/Entropy/Relative.lean	657
B_of_nonneg	lemma	private	c6f9d7deec6a3409	QuantumInfo/Entropy/Relative.lean	661
trace_rpow_sub_trace_at_one	lemma	private	6f0cf6dd6628005f	QuantumInfo/Entropy/Relative.lean	665
cross_term_at_one	lemma	private	c3432b21bc0b186a	QuantumInfo/Entropy/Relative.lean	670
scalar_rpow_cross_term_of_continuous	lemma	private	f9c6808e651ca5ff	QuantumInfo/Entropy/Relative.lean	681
scalar_rpow_cross_term_of_continuous_zero	lemma	private	dab7344d54d33c7b	QuantumInfo/Entropy/Relative.lean	719
conj_supportProj_eq_of_ker_le	lemma	private	ef903e00a2368742	QuantumInfo/Entropy/Relative.lean	780
rpow_tendsto_supportProj	lemma	private	371e1bacf66fa017	QuantumInfo/Entropy/Relative.lean	793
conj_rpow_continuousAt_zero	lemma	private	acec3708dcf81831	QuantumInfo/Entropy/Relative.lean	816
B_of_continuousAt	lemma	private	b5d0622aac3b5de8	QuantumInfo/Entropy/Relative.lean	836
trace_cfc_sub_le	lemma	private	645a80fe234aa765	QuantumInfo/Entropy/Relative.lean	848
eigenvalues_bounded_near	lemma	private	944dd7d58906b6ad	QuantumInfo/Entropy/Relative.lean	857
rpow_slope_tendsto_uniformly	lemma	private	6ec8b2fc25f26212	QuantumInfo/Entropy/Relative.lean	876
trace_cfc_tendsto_of_tendsto	lemma	private	35ed0fc96234ba1b	QuantumInfo/Entropy/Relative.lean	979
cross_term_slope_tendsto_zero	lemma	private	a8be2b724f11bc2f	QuantumInfo/Entropy/Relative.lean	1009
hasDerivAt_trace_rpow_sub_trace_variable_base	lemma	private	ebf775e7841c0376	QuantumInfo/Entropy/Relative.lean	1091
rpow_trace_cross_term_vanishes	lemma	private	299f5fbd6cc4ffdf	QuantumInfo/Entropy/Relative.lean	1108
sandwichedRelRentropy.hasDerivAt_trace_at_one	theorem	private	de11bfff7a98095a	QuantumInfo/Entropy/Relative.lean	1126
sandwichedRelRentropy.limit_at_one	theorem	private	058bcca6f3d8cf07	QuantumInfo/Entropy/Relative.lean	1148
inner_log_sub_log_nonneg	theorem	public	16453001b622ed7b	QuantumInfo/Entropy/Relative.lean	1163
sandwichedRelRentropy_nonneg	theorem	public	d0edf0acbf73382d	QuantumInfo/Entropy/Relative.lean	1179
ker_kron_le_of_le	lemma	public	1febcdd6c7538d25	QuantumInfo/Entropy/Relative.lean	1196
ker_le_of_ker_kron_le_left	lemma	public	c5364be6544792ba	QuantumInfo/Entropy/Relative.lean	1249
ker_le_of_ker_kron_le_right	lemma	public	41249197469aea3c	QuantumInfo/Entropy/Relative.lean	1333
